Ct,Target,Condition,Cell_line,Additional_info
23.3446846,bGAPDH,Mock,MDBK,
23.44122505,bGAPDH,Mock,MDBK,
23.43372917,bGAPDH,Mock,MDBK,
22.77761078,bGAPDH,phRSV 1-24,MDBK,
22.87328529,bGAPDH,phRSV 1-24,MDBK,
23.62771797,bGAPDH,phRSV 1-24,MDBK,
24.2664814,bGAPDH,bIFNa 5-6,MDBK,
23.30974197,bGAPDH,bIFNa 5-6,MDBK,
23.78531837,bGAPDH,bIFNa 5-6,MDBK,
25.75671577,bMx1,Mock,MDBK,
26.40770149,bMx1,Mock,MDBK,
26.17518616,bMx1,Mock,MDBK,
25.48832703,bMx1,phRSV 1-24,MDBK,
25.87054062,bMx1,phRSV 1-24,MDBK,
26.35421944,bMx1,phRSV 1-24,MDBK,
20.45875931,bMx1,bIFNa 5-6,MDBK,
19.4114418,bMx1,bIFNa 5-6,MDBK,
19.86432266,bMx1,bIFNa 5-6,MDBK,
29.78682709,hRSV_N,Mock,MDBK,
32.02146149,hRSV_N,Mock,MDBK,
31.70133209,hRSV_N,Mock,MDBK,
15.7831707,hRSV_N,phRSV 1-24,MDBK,
16.02749252,hRSV_N,phRSV 1-24,MDBK,
17.27791023,hRSV_N,phRSV 1-24,MDBK,
