Ct,Copy_number,Primer_set,Target,Experiment,Additional_info
7.732334,100000000,PS11,bIFIT1,,
11.643623,10000000,PS11,bIFIT1,,
15.24687,1000000,PS11,bIFIT1,,
18.531242,100000,PS11,bIFIT1,,
21.461369,10000,PS11,bIFIT1,,
24.70688,1000,PS11,bIFIT1,,
27.37341,100,PS11,bIFIT1,,
,100000000,,bIFIT2,,
,10000000,,bIFIT2,,
,1000000,,bIFIT2,,
,100000,,bIFIT2,,
,10000,,bIFIT2,,
,1000,,bIFIT2,,
,100,,bIFIT2,,
,100000000,,bIFIT3,,
,10000000,,bIFIT3,,
,1000000,,bIFIT3,,
,100000,,bIFIT3,,
,10000,,bIFIT3,,
,1000,,bIFIT3,,
,100,,bIFIT3,,
,100000000,,bIFIT5,,
,10000000,,bIFIT5,,
,1000000,,bIFIT5,,
,100000,,bIFIT5,,
,10000,,bIFIT5,,
,1000,,bIFIT5,,
,100,,bIFIT5,,
